id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,id бренда
144344802,Халат женский домашний Пеньюар длинный больших размеров,180100.0,ANDETTA,39,5.0,23,18592,20480
11870110,Трусы женские набор хлопок Слипы серые 3 шт,48300.0,ANDETTA,46,5.0,9,18592,20480
32171298,Пижама женская с шортами хлопок комплект кружевной,56500.0,ANDETTA,58,5.0,10,18592,20480
11870114,Трусы женские хлопок Слипы,16700.0,ANDETTA,46,5.0,4,18592,20480
33443447,Бюстгальтер женский Лифчик кружевной без пушап с косточками,40300.0,ANDETTA,54,4.0,19,18592,20480
139827912,Трусы женские набор хлопок Слипы больших размеров,39600.0,ANDETTA,55,5.0,9,18592,20480
36853648,Пижама женская со штанами и рубашкой хлопок в клетку,107600.0,ANDETTA,58,5.0,28,18592,20480
11628874,Бюстгальтер женский большие размеры без поролона кружевной,114100.0,ANDETTA,32,5.0,9,18592,20480
23149869,Топ Бюстгальтер женский без косточек без поролона кружевной,36300.0,ANDETTA,51,5.0,8,18592,20480
158936814,Боди с длинным рукавом сетка черное вечернее,159900.0,ANDETTA,28,5.0,10,18592,20480
191960425,Трусы женские набор хлопок Слипы больших размеров 3 шт,53200.0,ANDETTA,44,5.0,9,18592,20480
20887944,Майка женская на бретельках хлопок бельевая с кружевом,42100.0,ANDETTA,49,5.0,10,18592,20480
138908492,Трусы женские набор хлопок Слипы больших размеров 3 шт,41100.0,ANDETTA,43,5.0,9,18592,20480
70405209,Трусы женские кружевные Слипы больших размеров,43600.0,ANDETTA,32,5.0,4,18592,20480
9156163,Бюстгальтер женский большие размеры без поролона кружевной,95100.0,ANDETTA,32,5.0,9,18592,20480
9942207,Трусы женские хлопок Кружевные слипы больших размеров,26400.0,ANDETTA,34,5.0,4,18592,20480
66495043,Трусы женские кружевные Слипы больших размеров,43600.0,ANDETTA,32,5.0,4,18592,20480
135965406,Трусы женские хлопок Слипы больших размеров черные,33700.0,ANDETTA,43,5.0,4,18592,20480
140887545,Бюстгальтер женский без поролона без пушап с косточками,61200.0,ANDETTA,51,5.0,9,18592,20480
72828367,Ночная сорочка женская больших размеров вискоза сексуальная,87600.0,ANDETTA,40,5.0,10,18592,20480
8941829,Трусы женские больших размеров Слипы черные с кружевом,40200.0,ANDETTA,46,5.0,4,18592,20480
108718841,Трусы женские кружевные Слипы больших размеров черные,88800.0,ANDETTA,28,5.0,5,18592,20480
127652981,Трусы женские хлопок Слипы больших размеров сетка,32200.0,ANDETTA,46,5.0,4,18592,20480
143407679,Трусы женские набор хлопок Слипы больших размеров 3 шт,48000.0,ANDETTA,49,5.0,9,18592,20480
11628878,Трусы женские хлопок кружевные Высокие слипы белые,45600.0,ANDETTA,32,5.0,4,18592,20480
161341989,Ночная сорочка женская больших размеров вискоза трикотаж,67800.0,ANDETTA,54,5.0,10,18592,20480
77509763,Ночная сорочка женская хлопок трикотаж Ночнушка красивая,79700.0,ANDETTA,59,5.0,10,18592,20480
84883530,Трусы женские набор хлопок Слипы больших размеров 2 шт,67100.0,ANDETTA,32,5.0,7,18592,20480
26731473,Трусы женские кружевные высокие слипы,40900.0,ANDETTA,55,5.0,4,18592,20480
14116697,Бюстгальтер женский без косточек без поролона без пушап,43300.0,ANDETTA,50,5.0,7,18592,20480
122011040,Ночная сорочка Ночнушка больших размеров вискоза с кружевом,80500.0,ANDETTA,32,5.0,10,18592,20480
197588871,Халат женский домашний шелковый длинный,148100.0,ANDETTA,49,5.0,8,18592,20480
25797423,Трусы женские хлопок Кружевные слипы больших размеров,26000.0,ANDETTA,35,5.0,4,18592,20480
20888508,Трусы женские хлопок кружевные слипы,34100.0,ANDETTA,41,5.0,4,18592,20480
74271857,Трусы женские хлопок кружевные стринги,36500.0,ANDETTA,42,5.0,4,18592,20480
75138377,Трусы женские хлопок Слипы больших размеров,20500.0,ANDETTA,46,5.0,4,18592,20480
132547962,Бюстгальтер женский большие размеры без поролона кружевной,104000.0,ANDETTA,32,5.0,9,18592,20480
25777659,Трусы женские кружевные Слипы больших размеров,63200.0,ANDETTA,36,5.0,4,18592,20480
161356638,Трусы женские набор хлопок кружевные Слипы больших размеров,49500.0,ANDETTA,55,5.0,9,18592,20480
192766353,Трусы женские кружевные Стринги прозрачные сетка,41100.0,ANDETTA,25,5.0,3,18592,20480
108731871,Топ спортивный и трусы слипы Комплект нижнего белья женский,56700.0,ANDETTA,55,5.0,6,18592,20480
159016303,Трусы женские Стринги прозрачные сексуальные сетка,41100.0,ANDETTA,25,5.0,3,18592,20480
159987840,Трусы женские набор хлопок Слипы больших размеров,43700.0,ANDETTA,55,5.0,9,18592,20480
160728829,Ночная сорочка Ночнушка больших размеров вискоза с кружевом,76700.0,ANDETTA,36,5.0,10,18592,20480
15054300,Трусы женские хлопок кружевные стринги,31600.0,ANDETTA,49,5.0,4,18592,20480
139451360,Топ-Бюстгальтер женский без косточек Лифчик кружевной Бралет,80500.0,ANDETTA,32,5.0,7,18592,20480
139463601,Топ-Бюстгальтер женский без косточек Лифчик кружевной Бралет,80500.0,ANDETTA,32,5.0,7,18592,20480
29445101,Ночная сорочка кружевная и трусы стринги Комплект белья,151000.0,ANDETTA,32,4.0,10,18592,20480
135455682,Ночная сорочка Ночнушка женская вискоза Комбинация бретелях,150100.0,ANDETTA,24,5.0,10,18592,20480
24688588,Топ Бюстгальтер женский без косточек без поролона кружевной,40900.0,ANDETTA,45,5.0,8,18592,20480
66497468,Трусы женские кружевные Слипы больших размеров,43600.0,ANDETTA,32,5.0,4,18592,20480
188299547,Трусы женские кружевные Стринги прозрачные сетка,41100.0,ANDETTA,25,5.0,3,18592,20480
139462318,Топ-Бюстгальтер женский без косточек Лифчик кружевной Бралет,80500.0,ANDETTA,32,5.0,7,18592,20480
77197316,Трусы женские набор хлопок Слипы больших размеров 2 шт,67100.0,ANDETTA,32,5.0,7,18592,20480
8941827,Бюстгальтер женский большие размеры без поролона кружевной,84300.0,ANDETTA,29,5.0,9,18592,20480
84885901,Трусы женские набор хлопок Слипы больших размеров 2 шт,67100.0,ANDETTA,32,5.0,7,18592,20480
11238478,Трусы женские хлопок кружевные высокие слипы,44700.0,ANDETTA,29,5.0,4,18592,20480
158068347,"Пояс для чулок, чулков белый Пояс на талию с подвязками",53700.0,ANDETTA,32,5.0,2,18592,20480
77187329,Трусы женские набор хлопок Слипы больших размеров 2 шт,67100.0,ANDETTA,32,5.0,7,18592,20480
9528387,Трусы женские хлопок кружевные Слипы больших размеров,23900.0,ANDETTA,37,5.0,4,18592,20480
